A	1 A
AABBCGY	18 CABBAGY
AABBCMO	25 CABOMBA
AABBCOS	21 BABASCO
AABBCY	17 ABBACY
AABBD	13 DABBA
AABBDEH	20 ABABDEH
AABBDGR	16 GABBARD
AABBEGN	17 BEANBAG
AABBEIS	14 BABESIA
AABBERT	19 BARBATE
AABBGG	12 GABGAB
AABBH	15 HABAB
AABBHL	17 BABLAH
AABBHN	19 HABNAB
AABBHR	17 BHABAR
AABBHST	21 SABBATH
AABBI	11 BABAI
AABBIK	21 KAIBAB
AABBIMU	17 IMBAUBA
AABBINN	19 NIBBANA
AABBINU	16 BABUINA
AABBIQU	22 AQUABIB
AABBIS	12 ABBASI
AABBISS	13 ABBASSI
AABBKU	21 BAKUBA
AABBL	12 LABBA
AABBLL	14 LABLAB
AABBLO	17 BALBOA
AABBLR	14 BARBAL
AABBLRU	15 BARBULA
AABBLU	13 BALUBA
AABBMN	19 BAMBAN
AABBMSU	17 BAMBUSA
AABBMU	16 BABUMA
AABBMUW	19 WAMBUBA
AABBN	14 BANBA
AABBNRT	21 BRABANT
AABBNRU	17 ABURBAN
AABBNRY	18 BARNABY
AABBOR	17 ABOBRA
AABBRR	14 BARBRA
AABBRRY	16 BARBARY
AABBRS	13 BARBAS
AABBS	11 ABBAS
AABBSSU	13 BABASSU
AABBST	16 SABBAT
AABBU	11 BABUA
AABBW	13 ABWAB
AABC	11 CABA
AABCC	16 BACCA
AABCCE	18 BACCAE
AABCCEH	23 BACCHAE
AABCCET	23 BACCATE
AABCCH	21 BACACH
AABCCHR	23 BACCHAR
AABCCIL	19 CABALIC
AABCCIR	19 BRACCIA
AABCCK	26 CABACK
AABCCKP	29 BACKCAP
AABCCMU	22 CAMBUCA
AABCD	14 CABDA
AABCDIN	19 CABINDA
AABCDIR	17 CARABID
AABCDIT	20 CADBAIT
AABCEGK	24 BACKAGE
AABCEHT	23 CEBATHA
AABCEIR	16 CARAIBE
AABCELN	19 BALANCE
AABCELP	18 PACABLE
AABCELR	17 CALABER
AABCELT	20 ACTABLE
AABCEMR	20 MACABRE
AABCEMS	19 AMBSACE
AABCEMV	20 CAMBEVA
AABCEMY	20 CAMBAYE
AABCEO	18 COBAEA
AABCER	15 BARECA
AABCERS	16 ACERBAS
AABCERT	20 CABARET
AABCES	14 SABECA
AABCFKN	28 FANBACK
AABCGKS	23 SACKBAG
AABCGLO	19 COALBAG
AABCHIL	19 LAIBACH
AABCHL	18 ABLACH
AABCHMT	26 AMBATCH
AABCHO	21 CABAHO
AABCHOR	23 ABROACH
AABCHS	17 CASBAH
AABCIIR	15 CABIRIA
AABCIL	14 BALAIC
AABCILM	19 CAMBIAL
AABCILN	18 CALIBAN
AABCILR	16 CARIBAL
AABCIMR	19 AMBRICA
AABCIN	16 BIANCA
AABCINR	18 CARIBAN
AABCINT	21 TABACIN
AABCIOP	20 COPAIBA
AABCIR	14 CAIRBA
AABCIS	13 ABASIC
AABCIST	18 ABACIST
AABCITX	18 TAXICAB
AABCJKW	26 BACKJAW
AABCK	21 ABACK
AABCKLY	25 LAYBACK
AABCKRR	25 BARRACK
AABCKSW	25 SAWBACK
AABCKWY	26 WAYBACK
AABCL	13 CABAL
AABCLLM	20 CAMBALL
AABCLMO	23 CAMBALO
AABCLMU	19 CALUMBA
AABCLN	17 BLANCA
AABCLOR	20 ALBARCO
AABCLPY	18 CAPABLY
AABCLSY	16 SCYBALA
AABCLU	14 BACULA
AABCMN	20 CABMAN
AABCMNR	22 CRABMAN
AABCMT	21 TAMBAC
AABCMTU	22 TABACUM
AABCN	15 CABAN
AABCNOR	22 CARBONA
AABCNR	17 BARCAN
AABCNRR	19 CARBARN
AABCNT	20 CANTAB
AABCO	16 CAOBA
AABCOP	19 BACOPA
AABCOR	18 CAROBA
AABCORR	20 CARBORA
AABCORS	19 BORASCA
AABCORT	23 ACROBAT
AABCOST	22 TABASCO
AABCOTT	26 CATBOAT
AABCOTU	22 AUTOCAB
AABCR	13 BRACA
AABCRS	14 SCARAB
AABCRSU	15 CARABUS
AABCS	12 CABAS
AABCSU	13 ABACUS
AABCTTU	22 CATTABU
AABCUU	13 AUCUBA
AABCUY	14 CABUYA
AABDDEL	16 ADDABLE
AABDDG	13 BAGDAD
AABDDLN	18 BADLAND
AABDEFL	16 FADABLE
AABDEGM	17 GAMBADE
AABDEGN	16 DAGBANE
AABDEHS	17 ABASHED
AABDEHY	18 BAYHEAD
AABDEIL	14 AIDABLE
AABDEIS	13 DIABASE
AABDEIT	17 ABADITE
AABDELL	15 BALLADE
AABDELN	17 BELANDA
AABDELT	18 DATABLE
AABDEMM	21 BEMADAM
AABDEMN	20 BEADMAN
AABDEMY	18 DAYBEAM
AABDENN	19 BANANDE
AABDENR	17 BARDANE
AABDENU	16 BANDEAU
AABDENW	18 AWEBAND
AABDER	13 ABRADE
AABDERR	15 ABRADER
AABDERV	15 BRAVADE
AABDES	12 ABASED
AABDGHN	19 HANDBAG
AABDGIN	15 BAGINDA
AABDGIT	16 DIBATAG
AABDGMO	20 GAMBADO
AABDGNS	15 SANDBAG
AABDGO	15 DAGOBA
AABDGRR	14 DRAGBAR
